ticket_id,opened_at,region,channel,priority,category,agent,first_response_minutes,resolution_hours,reopened,satisfaction
TCK-1283,2025-10-25 00:13:44,APAC,chat,urgent,billing,l.svensson,24,1.19,false,3
TCK-1284,2025-10-25 07:06:03,NA,chat,normal,billing,a.rossi,87,4.12,false,4
TCK-1285,2025-10-25 14:10:56,APAC,chat,normal,bug,p.nair,43,29.11,false,4
TCK-1286,2025-10-25 17:55:08,EMEA,chat,high,bug,m.tanaka,27,17.05,false,4
TCK-1287,2025-10-25 19:16:53,NA,phone,urgent,performance,a.rossi,21,6.52,false,4
TCK-1288,2025-10-25 21:13:43,NA,chat,low,integrations,c.duarte,57,48.00,false,4
TCK-1289,2025-10-26 03:14:46,APAC,in_app,normal,billing,p.nair,51,5.22,false,4
TCK-1290,2025-10-26 08:18:28,APAC,in_app,low,feature_request,l.svensson,130,108.49,false,4
TCK-1291,2025-10-26 15:36:05,NA,chat,high,performance,a.rossi,28,6.12,true,3
TCK-1292,2025-10-26 18:15:21,NA,in_app,normal,integrations,l.svensson,87,41.52,false,5
TCK-1293,2025-10-27 00:00:29,APAC,in_app,high,feature_request,l.svensson,16,23.79,true,4
TCK-1294,2025-10-27 06:50:21,NA,chat,high,feature_request,m.tanaka,39,24.80,false,5
TCK-1295,2025-10-27 14:14:36,NA,phone,normal,integrations,j.okafor,25,54.53,false,3
TCK-1296,2025-10-27 19:10:48,NA,email,high,onboarding,j.okafor,56,4.78,true,4
TCK-1297,2025-10-28 02:25:10,APAC,phone,high,billing,p.nair,12,2.17,false,4
TCK-1298,2025-10-28 06:22:21,APAC,chat,high,onboarding,j.okafor,51,2.53,true,5
TCK-1299,2025-10-28 13:06:50,NA,phone,normal,integrations,j.okafor,87,23.24,true,5
TCK-1300,2025-10-28 16:58:14,NA,in_app,normal,integrations,l.svensson,60,50.69,false,4
TCK-1301,2025-10-28 20:48:53,EMEA,in_app,high,performance,m.tanaka,39,4.95,false,5
TCK-1302,2025-10-28 23:30:34,EMEA,phone,urgent,feature_request,m.tanaka,14,14.39,false,4
TCK-1303,2025-10-29 05:13:19,NA,chat,normal,feature_request,m.tanaka,65,27.96,false,5
TCK-1304,2025-10-29 08:24:32,NA,in_app,low,integrations,m.tanaka,77,39.00,false,4
TCK-1305,2025-10-29 14:27:02,EMEA,in_app,low,billing,c.duarte,69,4.16,false,4
TCK-1306,2025-10-29 20:44:07,EMEA,chat,high,feature_request,c.duarte,30,19.01,false,5
TCK-1307,2025-10-29 23:53:15,NA,email,urgent,billing,c.duarte,28,1.78,false,5
TCK-1308,2025-10-30 06:58:15,NA,in_app,high,billing,a.rossi,17,1.32,false,5
TCK-1309,2025-10-30 09:34:39,NA,phone,normal,feature_request,p.nair,94,55.22,false,4
TCK-1310,2025-10-30 12:53:06,EMEA,chat,high,bug,p.nair,56,12.42,true,5
TCK-1311,2025-10-30 16:46:41,NA,phone,high,billing,m.tanaka,18,1.63,false,4
TCK-1312,2025-10-30 21:09:46,NA,in_app,urgent,integrations,j.okafor,11,,false,
TCK-1313,2025-10-31 01:31:24,EMEA,email,normal,onboarding,c.duarte,39,7.75,false,4
TCK-1314,2025-10-31 08:35:39,EMEA,in_app,urgent,performance,j.okafor,29,7.09,false,5
TCK-1315,2025-10-31 14:57:02,APAC,email,low,bug,c.duarte,138,23.86,false,4
TCK-1316,2025-10-31 17:34:34,NA,chat,urgent,performance,j.okafor,30,,false,
TCK-1317,2025-10-31 19:25:01,NA,phone,normal,integrations,a.rossi,46,27.95,false,5
TCK-1318,2025-11-01 02:33:26,EMEA,email,urgent,bug,p.nair,14,7.14,true,5
TCK-1319,2025-11-01 06:22:13,EMEA,email,normal,onboarding,a.rossi,86,6.84,true,5
TCK-1320,2025-11-01 07:44:31,NA,in_app,urgent,integrations,m.tanaka,24,12.73,false,4
